Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,overallrating,potential,jumping,understat_goals,strength,vision,headingaccuracy,ballcontrol,acceleration,interceptions,understat_matches,reactions,longpassing,dribbling,understat_assists,standingtackle,understat_minutes,penalties,Valor de mercado actual (numérico),Cluster
nico-o-reilly,46.0,209,0,54,6.0,30/06/2028,01/07/2024,,-0.514870058446373,-0.2224616017020763,-0.4782283022476529,-0.5207376952078825,-0.2788525837345488,-1.2850737055140355,0.5400845202251955,-0.4511497695001353,,-0.0128011414715706,0.4863212321559398,-0.010854031845863,0.1070486903587451,-0.0155619368794202,0.1853962659854709,,-0.8981806318907889,0.2880435774590168,0.1569932645978647,,0.2713719891284023,,0.3419085630932207,7000000.0,2
Mateo Kovačić,6.0,93,0,54,6.0,30/06/2027,01/07/2023,2.2617783841527257,-0.4183560509895422,-0.6229085026418513,-0.5805420935203993,-0.5207376952078825,-0.5149655689685982,1.4844816943006938,0.9413757726215664,-0.7334320223853699,-0.3295387788876583,0.073228035084687,1.3422526873740752,-0.8148563907986768,1.1564734548139683,0.5089977332133855,0.8805453697930107,0.6889552014154714,1.5814911761617043,1.4144561687369164,1.1289674139159962,-0.7363309741932195,0.8235626757470519,0.0022550114153054,0.4589791539989528,25000000.0,1
İlkay Gündoğan,1.0,5,0,54,14.0,30/06/2026,23/08/2024,0.4806670854698842,-0.3218420435327115,-0.1724057390846044,-0.6316989891567725,-0.6189851472620966,-0.2316299866877389,1.6575789067891142,1.1420213988197518,-1.0157142752706043,0.8098200411938484,-0.2708886711403437,1.484907929910431,-0.4128552113222699,1.1564734548139683,-0.5401216069722261,0.9674390077689532,1.2725362758068857,1.8425092612198617,1.4144561687369164,1.0803687064500898,3.42054244560351,0.908515089072998,1.5971761318444588,1.6882203585091389,7000000.0,1
kevin-de-bruyne,11.0,67,0,54,6.0,30/06/2025,30/08/2015,1.409942545652236,-0.1288140286190501,-0.2224616017020763,-0.6316989891567725,-0.3733665171265614,-0.2316299866877389,2.5230649692312173,2.1452495298106795,-0.1688675166149007,0.5249803361734717,0.5033739178659755,2.1981841425922104,-0.1616044741495156,1.322172101833214,-0.0155619368794202,0.4460771799132983,-0.478206947367357,2.364545431336176,2.010792246472275,1.031769998984183,3.882417270025369,0.5687054357692136,-0.3299300523375779,1.863826244867737,27000000.0,1
Bernardo Mota Veiga de Carvalho e Silva,72.0,292,0,54,14.0,30/06/2026,01/07/2017,,-0.4183560509895422,-0.3726291895544919,-0.1712869284294138,-0.2751190650723473,-0.4205203748749785,1.830676119277535,1.342667025017937,-0.9216201909755262,1.0946597462142251,-1.3032387898154365,1.556235551178609,-0.2118546215840664,1.1564734548139683,0.2467178981669826,0.750204912829097,0.9807457386111784,1.9730183037489404,1.281937040351281,1.1775661213819029,3.42054244560351,0.8235626757470519,1.1481311759570103,0.7516556312632828,45000000.0,1
Nicolás González Iglesias,28.0,113,0,54,6.0,30/06/2029,03/02/2025,0.7129859505154722,-0.1770710323474654,-0.1724057390846044,-0.3759145109749066,-0.2751190650723473,-0.5149655689685982,0.7920928443470114,1.342667025017937,0.5838851577457247,2.803697976336485,1.1055781537597795,1.1282698235695414,0.5418975899341965,0.7698432784357282,-0.081131895641021,0.750204912829097,0.5916916890169024,0.5374188359290758,1.0831583477728284,0.6915790467228371,0.1874186746504982,0.9509912957359712,0.4080185257714332,0.5175144494518188,40000000.0,1
James John McAtee,46.0,196,0,54,,30/06/2026,01/07/2023,0.2483482204242962,-0.2735850398042961,-0.5728526400243794,-0.5805420935203993,-0.3733665171265614,-0.3260751807813587,-0.4195876430719326,0.5400845202251955,-1.2039024438607608,0.240140631153095,-0.6150053773653745,0.5576488534241177,-0.8148563907986768,0.5489117490767338,0.377857815690184,-0.9876678466897524,0.7862187138140405,0.0153826658127613,0.2880435774590168,0.5457829243251173,0.6492934990723571,-0.6206283507940317,0.3355221112064718,0.4004438585460868,18000000.0,0
Ryan Jiro Gravenberch,69.0,286,0,53,14.0,30/06/2028,01/09/2023,1.6422614106978242,-0.2735850398042961,-0.4727409147894356,-0.5805420935203993,-0.3242427910994543,-0.2788525837345488,1.6575789067891142,1.7439582774143083,0.772073326335881,-0.3295387788876583,0.8474906240910064,1.2709250661058973,0.3911471476305438,1.046007690134471,0.7057076094981877,1.2715667406847515,0.2999011518211952,1.450982133632626,1.3481966045440987,1.1289674139159962,-0.7363309741932195,1.0359437090619172,-0.4565282688166898,0.4004438585460868,70000000.0,3
alexis-mac-allister,5.0,46,0,53,14.0,30/06/2028,01/07/2023,4.352648169563018,-0.514870058446373,-0.3726291895544919,-0.1712869284294138,-0.1277478869910261,-0.3732977778281686,2.0037733317659554,1.9446039036124936,0.0193206519752555,0.8098200411938484,-0.0128011414715706,1.627563172446787,0.340897000195993,1.046007690134471,0.2467178981669826,1.0108858267569245,0.9807457386111784,1.7120002186907832,1.5469752971225517,0.9831712915182764,1.5730431479160747,0.993467502398944,1.215217410330557,2.039432131226335,90000000.0,3
dominik-szoboszlai,45.0,193,0,53,,30/06/2028,02/07/2023,3.191053844335078,-0.3700990472611269,-0.3726291895544919,-0.222443824065787,-0.3733665171265614,-0.5621881660154082,1.311384481812273,1.5433126512161228,0.2075088205654119,0.240140631153095,-0.0128011414715706,1.3422526873740752,0.2403967053268912,0.8803090431152254,0.5745676919749862,0.4895239989012696,0.9807457386111784,1.3204730911035474,1.281937040351281,0.93457258405237,0.1874186746504982,0.5687054357692136,0.646066454193695,1.629685063056273,80000000.0,3
