Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Posición específica,Posición secundaria,Club actual,Proveedor,Fin de contrato,Valor de mercado actual (numérico),Fecha de fichaje,comprado_por,Pie bueno,understat_matches,understat_minutes,understat_goals,understat_xg,understat_assists,understat_xa,understat_shots,understat_key_passes,understat_yellow_cards,understat_red_cards,overallrating,potential,crossing,finishing,headingaccuracy,shortpassing,volleys,dribbling,curve,fk_accuracy,longpassing,ballcontrol,acceleration,sprintspeed,agility,reactions,balance,shotpower,jumping,stamina,strength,longshots,aggression,interceptions,positioning,vision,penalties,composure,defensiveawareness,standingtackle,slidingtackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
nico-o-reilly,46.0,209,0,10.0,9.0,54,6.0,30/06/2028,7000000.0,01/07/2024,NULL,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1.2850737055140355,0.5400845202251955,0.3428239594669085,0.4411939965995116,-0.010854031845863,0.0621551793323626,0.4240179804620875,0.1569932645978647,0.4852078881499576,0.4922869096158803,0.2880435774590168,0.1070486903587451,-0.0155619368794202,0.215050798865382,0.057072501648992,-0.8981806318907889,-0.9098140194705656,-0.0586599090849913,-0.4511497695001353,0.0560844210305427,-0.0128011414715706,0.4268778780632546,-0.0059756782760347,0.1853962659854709,-0.5207376952078825,0.4863212321559398,0.3419085630932207,0.0041077131589672,0.2220575972381434,0.2713719891284023,0.0579308499634617,-0.514870058446373,-0.2224616017020763,-0.4782283022476529,-0.5207376952078825,-0.2788525837345488
Mateo Kovačić,6.0,93,0,9.0,10.0,54,6.0,30/06/2027,25000000.0,01/07/2023,2.2617783841527257,1.0,0.6889552014154714,0.0022550114153054,-0.3295387788876583,-0.2688483247774954,-0.7363309741932195,-0.0153365040804135,0.0974745267607899,0.3667565159391273,0.3091389653282991,-0.3596700104893391,1.4844816943006938,0.9413757726215664,0.7854863143528278,0.4411939965995116,-0.8148563907986768,1.34134539522805,1.3599892645541545,1.1289674139159962,1.0775990913283202,1.1720678648553478,1.4144561687369164,1.1564734548139683,0.5089977332133855,-0.1837822850837678,1.3358195904825416,1.5814911761617043,1.256701623030253,1.0419995716019457,-0.7334320223853699,0.4939833062333209,0.073228035084687,1.072284184891986,0.7744300667285055,0.8805453697930107,-0.5207376952078825,1.3422526873740752,0.4589791539989528,1.3733454328146806,0.8844854634157829,0.8235626757470519,0.7421534873271831,-0.4183560509895422,-0.6229085026418513,-0.5805420935203993,-0.5207376952078825,-0.5149655689685982
İlkay Gündoğan,1.0,5,0,9.0,11.0,54,14.0,30/06/2026,7000000.0,23/08/2024,0.4806670854698842,1.0,1.2725362758068857,1.5971761318444588,0.8098200411938484,1.437254818719385,3.42054244560351,4.24020111970928,1.0735320688366654,5.025594664196601,0.6775416603165617,-0.3596700104893391,1.6575789067891142,1.1420213988197518,0.9822251387465696,1.2171725123866015,-0.4128552113222699,1.2066937935548196,1.310727618022993,1.0803687064500898,1.3737946929175011,1.6949762919626306,1.4144561687369164,1.1564734548139683,-0.5401216069722261,-0.914976272323876,0.460887371806955,1.8425092612198617,0.6001817313633383,1.1992366402715078,-1.0157142752706043,0.3063123554321303,-0.2708886711403437,1.210585536355285,0.3842271942262354,0.9674390077689532,-0.6189851472620966,1.484907929910431,1.6882203585091389,1.6300775052501268,0.9728091789061348,0.908515089072998,0.5710978279862527,-0.3218420435327115,-0.1724057390846044,-0.6316989891567725,-0.6189851472620966,-0.2316299866877389
kevin-de-bruyne,11.0,67,0,10.0,9.0,54,6.0,30/06/2025,27000000.0,30/08/2015,1.409942545652236,1.0,-0.478206947367357,-0.3299300523375779,0.5249803361734717,0.0673946880952856,3.882417270025369,4.911429034708974,1.1200109994117071,2.6348750881171084,-0.4276664246482259,-0.3596700104893391,2.5230649692312173,2.1452495298106795,1.8183651424199727,1.4454014876180987,-0.1616044741495156,1.6779743994111254,1.7048207902722845,1.031769998984183,1.8180880953012728,1.851848820094816,2.010792246472275,1.322172101833214,-0.0155619368794202,-0.0508379237673845,0.460887371806955,2.364545431336176,0.6658337205300298,2.0640405179541013,-0.1688675166149007,0.1811983882313365,0.5033739178659755,1.6715900412329503,0.6629435317278569,0.4460771799132983,-0.3733665171265614,2.1981841425922104,1.863826244867737,1.6300775052501268,0.4870287437091993,0.5687054357692136,-0.0275969797070034,-0.1288140286190501,-0.2224616017020763,-0.6316989891567725,-0.3733665171265614,-0.2316299866877389
Bernardo Mota Veiga de Carvalho e Silva,72.0,292,0,10.0,2.0,54,14.0,30/06/2026,45000000.0,01/07/2017,NULL,2.0,0.9807457386111784,1.1481311759570103,1.0946597462142251,0.5115145099404738,3.42054244560351,3.259890919102329,0.6552216936612902,3.0639786017724018,1.7827497452813494,-0.3596700104893391,1.830676119277535,1.342667025017937,1.326518081435618,1.1715267173403023,-0.2118546215840664,1.2066937935548196,1.4585125576164772,1.1775661213819029,1.3737946929175011,1.015195336723163,1.281937040351281,1.1564734548139683,0.2467178981669826,-0.2502544657419595,1.8069369390001653,1.9730183037489404,1.7819175363637847,1.0419995716019457,-0.9216201909755262,1.432338060239274,-1.3032387898154365,1.1644850858675189,0.8301733342288298,0.750204912829097,-0.2751190650723473,1.556235551178609,0.7516556312632828,1.8012322202070912,0.6636761746899031,0.8235626757470519,0.6138617428214854,-0.4183560509895422,-0.3726291895544919,-0.1712869284294138,-0.2751190650723473,-0.4205203748749785
Nicolás González Iglesias,28.0,113,0,9.0,11.0,54,6.0,30/06/2029,40000000.0,03/02/2025,0.7129859505154722,1.0,0.5916916890169024,0.4080185257714332,2.803697976336485,2.488588841186111,0.1874186746504982,0.1489696134007858,3.0256471529884164,0.4280570178898835,-0.7960691196364885,-0.3596700104893391,0.7920928443470114,1.342667025017937,0.6379321960575214,0.8063603569699069,0.5418975899341965,1.0047163910449743,0.4732796269932489,0.6915790467228371,0.28774415375717,0.5968685950373368,1.0831583477728284,0.7698432784357282,-0.081131895641021,0.3479951601817653,0.057072501648992,0.5374188359290758,-0.5159020844704167,0.8061439685976018,0.5838851577457247,0.8067682242353054,1.1055781537597795,0.6573801305020872,1.2203762067311,0.750204912829097,-0.2751190650723473,1.1282698235695414,0.5175144494518188,0.6031492155083419,0.840323605670607,0.9509912957359712,0.6993895724919506,-0.1770710323474654,-0.1724057390846044,-0.3759145109749066,-0.2751190650723473,-0.5149655689685982
James John McAtee,46.0,196,0,10.0,9.0,54,NULL,30/06/2026,18000000.0,01/07/2023,0.2483482204242962,2.0,0.7862187138140405,0.3355221112064718,0.240140631153095,0.249835273510223,0.6492934990723571,0.6449663231000762,0.2833902490609567,0.7958600295944209,-0.4276664246482259,-0.3596700104893391,-0.4195876430719326,0.5400845202251955,0.4903780777622149,0.8063603569699069,-0.8148563907986768,0.264132581842208,0.2269713943374418,0.5457829243251173,0.5345738217481544,0.439996066905152,0.2880435774590168,0.5489117490767338,0.377857815690184,0.2815229795235736,0.7300972852455971,0.0153826658127613,0.4688777530299553,0.098577159584571,-1.2039024438607608,0.1186414046309396,-0.6150053773653745,0.6112796800143208,-1.1208410282825207,-0.9876678466897524,-0.3733665171265614,0.5576488534241177,0.4004438585460868,0.3464171430728956,-0.4845321266846719,-0.6206283507940317,-0.4552361280593293,-0.2735850398042961,-0.5728526400243794,-0.5805420935203993,-0.3733665171265614,-0.3260751807813587
Ryan Jiro Gravenberch,69.0,286,0,11.0,9.0,53,14.0,30/06/2028,70000000.0,01/09/2023,1.6422614106978242,1.0,0.2999011518211952,-0.4565282688166898,-0.3295387788876583,-0.1858064676479872,-0.7363309741932195,-0.2994262186380179,0.1439534573358316,-0.0010464957654101,-1.164471814624751,-0.3596700104893391,1.6575789067891142,1.7439582774143083,0.7854863143528278,1.0802351272477035,0.3911471476305438,1.1393679927182043,1.064419385367186,1.1289674139159962,0.9788672241319264,1.1197770221446195,1.3481966045440987,1.046007690134471,0.7057076094981877,0.4144673408399569,0.9993071986842392,1.450982133632626,0.6658337205300298,0.9633810372671644,0.772073326335881,1.1195531422372895,0.8474906240910064,1.1644850858675189,0.6629435317278569,1.2715667406847515,-0.3242427910994543,1.2709250661058973,0.4004438585460868,1.715654862728609,1.0611328943964868,1.0359437090619172,1.0842648060090438,-0.2735850398042961,-0.4727409147894356,-0.5805420935203993,-0.3242427910994543,-0.2788525837345488
alexis-mac-allister,5.0,46,0,9.0,10.0,53,14.0,30/06/2028,90000000.0,01/07/2023,4.352648169563018,1.0,0.9807457386111784,1.215217410330557,0.8098200411938484,0.4828931759431091,1.5730431479160747,0.8904678493832962,1.1200109994117071,1.9605695666587897,1.4143470502930868,2.273875306699427,2.0037733317659554,1.9446039036124936,1.0805945509434405,1.2171725123866015,0.340897000195993,1.2740195943914348,1.4092509110853155,0.9831712915182764,1.3244287593193045,1.799557977384087,1.5469752971225517,1.046007690134471,0.2467178981669826,-0.0508379237673845,1.0666096770438995,1.7120002186907832,1.388005601363636,1.7495663806149764,0.0193206519752555,1.2446671094380837,-0.0128011414715706,1.3027864373308184,1.1088896717304513,1.0108858267569245,-0.1277478869910261,1.627563172446787,2.039432131226335,1.544500147771645,1.016971036651311,0.993467502398944,0.8704452318328809,-0.514870058446373,-0.3726291895544919,-0.1712869284294138,-0.1277478869910261,-0.3732977778281686
dominik-szoboszlai,45.0,193,0,10.0,9.0,53,NULL,30/06/2028,80000000.0,02/07/2023,3.191053844335078,1.0,0.9807457386111784,0.646066454193695,0.240140631153095,0.3424901330139432,0.1874186746504982,1.885804544506664,1.863673888612374,2.45097358226484,-0.7960691196364885,-0.3596700104893391,1.311384481812273,1.5433126512161228,1.3757027875340533,1.1715267173403023,0.2403967053268912,1.0047163910449743,1.803344083334607,0.93457258405237,1.669990294506683,1.851848820094816,1.281937040351281,0.8803090431152254,0.5745676919749862,1.2786056893964484,0.7973997636052575,1.3204730911035474,0.2062697963631894,1.828184914949757,0.2075088205654119,1.3697810766388774,-0.0128011414715706,1.1644850858675189,0.2727406592255868,0.4895239989012696,-0.3733665171265614,1.3422526873740752,1.629685063056273,0.9454586454222702,0.3987050282188473,0.5687054357692136,0.3572782538100899,-0.3700990472611269,-0.3726291895544919,-0.222443824065787,-0.3733665171265614,-0.5621881660154082
