Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Posición específica,Posición secundaria,Club actual,Proveedor,Fin de contrato,Valor de mercado actual (numérico),Fecha de fichaje,comprado_por,Pie bueno,understat_matches,understat_minutes,understat_goals,understat_xg,understat_assists,understat_xa,understat_shots,understat_key_passes,understat_yellow_cards,understat_red_cards,overallrating,potential,crossing,finishing,headingaccuracy,shortpassing,volleys,dribbling,curve,fk_accuracy,longpassing,ballcontrol,acceleration,sprintspeed,agility,reactions,balance,shotpower,jumping,stamina,strength,longshots,aggression,interceptions,positioning,vision,penalties,composure,defensiveawareness,standingtackle,slidingtackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
Rúben Santos Gato Alves Dias,72.0,292,1,0.0,NULL,54,6.0,30/06/2027,70000000.0,29/09/2020,NULL,1.0,0.6889552014154714,1.097275482157709,-0.6143784839080351,-0.1521996915276479,-0.7363309741932195,-0.5346951590057333,0.0045166656107065,-0.49145051137146,-1.164471814624751,-0.3596700104893391,2.0037733317659554,1.7439582774143083,-0.1490231015174462,-1.0651172399283693,1.3458999488870105,1.0047163910449743,-0.8075231828169478,0.011197142200145,-0.5021107838139801,0.0216693252193258,1.2156774761584637,0.4384459843972366,-0.6056915657338268,-0.3831988270583428,-0.2794398901493105,1.8425092612198617,-0.5815540736371082,0.6489068999280394,1.242543747811272,0.6816542570345117,1.7077823896535833,-1.2788387899841065,1.3876060092320728,1.315013559672723,-0.5207376952078825,0.0583555045468721,-0.3605149823411713,1.544500147771645,1.4144277563578946,1.2908009490397554,1.3408482950204397,-0.514870058446373,-0.4727409147894356,-0.222443824065787,-0.5207376952078825,-0.2788525837345488
Joško Gvardiol,21.0,93,1,7.0,0.0,54,NULL,30/06/2028,75000000.0,05/08/2023,5.127044386381645,2.0,0.4944281766183333,0.8624736618502965,0.5249803361734717,0.2145638171435353,-0.2744561497713605,0.1904654003227473,0.5622638325112068,0.2441555120376148,-0.0592637296599633,-0.3596700104893391,1.6575789067891142,1.7439582774143083,0.7854863143528278,0.715068766877308,1.094649211714256,0.870064789371744,0.5718029200555718,0.7401777541887437,0.8801353569355326,0.5968685950373368,0.8843796551943754,0.7698432784357282,0.8368475270213891,0.7468282441309152,0.1243749800086525,1.7120002186907832,0.1406178071964979,1.1992366402715078,1.6189200849915846,0.7442112406349085,1.1916073303160373,0.9339828334286864,1.276119474231424,1.184673102708809,-0.4224902431536684,0.4863212321559398,0.5760497449046847,1.1166133603792343,1.2819421831223667,1.2058485357138091,1.2980843801852069,-0.6113840659032037,-0.4727409147894356,-0.5805420935203993,-0.4224902431536684,-0.3260751807813587
Manuel Obafemi Akanji,86.0,341,1,0.0,6.0,54,7.0,30/06/2027,32000000.0,01/09/2022,1.6422614106978242,1.0,0.6889552014154714,1.0594042208178038,-0.0446990738672816,-0.0432925220992292,-0.7363309741932195,-0.570098340893272,-0.2278779872645018,-0.1236474996669226,-0.4276664246482259,2.273875306699427,1.4844816943006938,0.9413757726215664,-0.0998383954190107,-0.6543050845116745,1.044399064279705,0.9373905902083592,-0.3149067175053336,0.594381631791024,-0.107183315028405,0.5968685950373368,1.149417911965646,0.6041446314164824,0.5745676919749862,0.8133004247891068,-0.0102299767106684,1.7120002186907832,-0.7128580519704912,0.7275254342628207,1.6189200849915846,0.2437553718317334,1.4496948599848103,-0.264628879253243,1.053146404230127,1.184673102708809,-0.5698614212349895,0.1296831258150501,-0.6531914596055014,1.2877680753361986,1.3261040408675426,1.2058485357138091,1.255320465349974,-0.3700990472611269,-0.4226850521719638,-0.222443824065787,-0.5698614212349895,-0.4205203748749785
"Abdukodir Khikmatovich Khusanov, Абдукодир Хусанов",93.0,357,1,0.0,NULL,54,NULL,30/06/2029,35000000.0,20/01/2025,0.2483482204242962,1.0,-1.1590515341573402,-0.7778929721867431,-0.6143784839080351,-0.6301937874013028,-0.7363309741932195,-0.787324496053242,-0.6926672930149187,-0.8592535230759976,0.3091389653282991,-0.3596700104893391,0.4458984193701703,1.342667025017937,-0.4933160442064945,-0.8368882646968722,0.692648032237849,-0.1398222231774826,-0.5612149501611408,-0.4747899324589207,-0.4033789166175863,-0.3966574164665004,0.0892648848805639,0.1070486903587451,0.7712775682597884,1.5444944120292148,-0.481347325228292,0.1458917083418399,-0.9098140194705656,-1.3165564584414906,1.4307319164014285,-0.1941435133710448,1.1916073303160373,-0.8178342851064412,0.8859166017291541,0.923992188780982,-0.4716139691807754,-0.3696102230621955,-0.3019796868883053,0.0896850706374493,0.9286473211609588,0.908515089072998,0.8704452318328809,-0.2735850398042961,-0.5227967774069076,-0.4270714066112797,-0.4716139691807754,-0.6094107630622181
vitor-reis,8.0,60,1,0.0,6.0,54,NULL,30/06/2029,30000000.0,21/01/2025,0.4032274637880215,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-0.7657820680487738,1.1420213988197518,-1.4278254600767684,-1.0651172399283693,0.5921477373687473,0.0621551793323626,-0.8075231828169478,0.0597958496660516,-0.6995745182067675,-0.7626933154415982,0.1555244490733816,-0.003417074320752,-0.2122718131642224,-0.0508379237673845,-0.346742368508971,-0.3761444617744744,-0.5815540736371082,-1.866886198784959,0.1134147362703337,-0.3192574805718385,0.1592572116409447,-0.9561356365697408,0.2169973917252625,0.7067580938411258,-0.1277478869910261,-0.2982826017940176,-0.3605149823411713,-0.4237790742334431,0.7078380324350791,0.6111816424321866,0.6993895724919506,-0.4183560509895422,-0.4226850521719638,-0.1201300327930406,-0.1277478869910261,-0.184407389640929
Nathan Benjamin Aké,69.0,279,1,0.0,7.0,54,6.0,30/06/2027,32000000.0,05/08/2020,NULL,2.0,0.5916916890169024,0.5497652467865073,-0.0446990738672816,-0.049225654102892,0.1874186746504982,0.009187627065689,0.0045166656107065,-0.3075490055191913,-1.164471814624751,-0.3596700104893391,1.4844816943006938,0.9413757726215664,0.293639253368473,-0.1978471340486803,1.1951495065833575,0.870064789371744,0.1777097478062804,0.4485855093933042,0.3864760209535638,0.5968685950373368,0.8181200910015578,0.659377513756231,0.6401376507365869,0.4809395214981485,0.057072501648992,1.5814911761617043,0.2062697963631894,-0.1372784434197725,1.5248260006965064,0.2437553718317334,0.7614614475347486,0.104174724648889,0.9416598692294784,1.184673102708809,-0.0786241609639191,0.3436659896195839,0.1077673812817567,0.9454586454222702,1.2819421831223667,1.1633723290508362,1.2980843801852069,-0.3700990472611269,-0.5227967774069076,-0.5293851978840262,-0.0786241609639191,-0.3732977778281686
john-stones,46.0,196,1,0.0,6.0,54,6.0,30/06/2026,30000000.0,09/08/2016,NULL,1.0,-0.672733972164495,-0.5171222869605383,-0.3295387788876583,-0.4679115850901668,-0.7363309741932195,-0.6969845633615349,-0.7391462235899604,-0.5527510133222163,-0.4276664246482259,-0.3596700104893391,1.4844816943006938,0.9413757726215664,0.293639253368473,0.0760276362291162,1.2956498014524591,1.0047163910449743,-0.2163834244430108,0.6429803392569305,0.28774415375717,-0.5535299445986852,1.0831583477728284,0.659377513756231,0.0500080218821804,0.0821064375489987,0.1243749800086525,1.5814911761617043,0.1406178071964979,0.1771956939193522,1.1484496635161938,-0.069029546170251,0.675432270978491,0.3346769770877216,0.8859166017291541,1.184673102708809,-0.3733665171265614,1.0569422023013637,0.0492320858288907,1.6300775052501268,1.2819421831223667,1.2058485357138091,1.2980843801852069,-0.514870058446373,-0.1223498764671326,-0.3247576153385333,-0.3733665171265614,-0.4677429719217884
Trent John Alexander-Arnold,46.0,196,1,6.0,NULL,53,14.0,30/06/2025,75000000.0,01/07/2016,5.127044386381645,1.0,0.4944281766183333,0.7055784362992604,0.240140631153095,0.1161116169624728,1.111168323494216,3.18000554862083,1.2594477911368325,3.0026780998216456,1.0459443553048242,-0.3596700104893391,2.0037733317659554,1.7439582774143083,1.769180436321537,0.5324855866921104,0.5418975899341965,1.408671196064665,1.1136810318983472,0.7401777541887437,1.7193562281048795,1.956430505516272,1.9445326822794573,0.9907748077947226,0.377857815690184,0.7468282441309152,0.460887371806955,1.7120002186907832,0.4688777530299553,1.5137107776106329,0.2075088205654119,1.3697810766388774,-0.0988303180278283,1.0261837344042193,0.3842271942262354,1.2281199216967804,-0.5698614212349895,1.8415460362513207,0.8687262221690149,1.2021907178577165,1.016971036651311,1.0784199157248902,1.0415008911738113,-0.1770710323474654,-0.1223498764671326,-0.1712869284294138,-0.5698614212349895,-0.5149655689685982
virgil-van-dijk,69.0,286,1,0.0,NULL,53,6.0,30/06/2027,28000000.0,01/01/2018,NULL,1.0,1.2725362758068857,1.773548006084589,-0.0446990738672816,0.2783937266366602,0.1874186746504982,0.0696036840935283,1.1664899299867488,-0.2462485035684351,-0.0592637296599633,2.273875306699427,2.6961621817196377,2.345895156008865,-0.1982078076158816,-0.0152639538634826,1.4966503911906628,0.8027389885351289,-0.1671217779118494,0.3027893869955845,0.1890122865607762,1.1720678648553478,1.5469752971225517,0.5489117490767338,-0.081131895641021,1.2786056893964484,-0.8178597170265945,2.364545431336176,-0.9754660086372572,1.1992366402715078,1.5248260006965064,0.4939833062333209,2.051899095878614,0.4729783285510212,1.2203762067311,1.5322476546125792,-0.3242427910994543,0.4863212321559398,0.6345850403575508,1.886809577685573,1.5910751873385984,1.4607057756916475,1.4263761246909046,-0.2253280360758808,-0.3726291895544919,-0.222443824065787,-0.3242427910994543,-0.3260751807813587
Andrew Henry Robertson,25.0,106,1,7.0,5.0,53,6.0,30/06/2026,20000000.0,21/07/2017,NULL,2.0,0.0081106146254881,0.1580682009280585,0.240140631153095,0.0246386678759041,0.1874186746504982,2.363366830216289,-0.3673147789896269,2.880077095920133,-0.4276664246482259,-0.3596700104893391,1.311384481812273,0.740730146423381,1.424887493632489,0.1216734312754156,0.4413972950650947,0.8027389885351289,-0.8075231828169478,0.6429803392569305,1.2750628257211076,1.224358707566076,0.8181200910015578,0.7146103960959796,0.7057076094981877,0.6138838828145319,0.5954923285262761,1.1899640485744687,0.6001817313633383,0.8061439685976018,0.3016029048604901,1.2446671094380837,-0.184859494584086,0.5190787790387877,1.2203762067311,1.0543326457448956,-0.5207376952078825,1.1995974448377194,0.2248379721874887,1.1166133603792343,1.016971036651311,1.0359437090619172,1.169792635679509,-0.3218420435327115,-0.4727409147894356,-0.3759145109749066,-0.5207376952078825,-0.184407389640929
