Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Valor de mercado actual (numérico),Fecha de fichaje,comprado_por,Pie bueno,understat_matches,understat_minutes,overallrating,potential,crossing,finishing,headingaccuracy,shortpassing,volleys,dribbling,curve,fk_accuracy,longpassing,ballcontrol,acceleration,sprintspeed,agility,reactions,balance,shotpower,jumping,stamina,strength,longshots,aggression,interceptions,positioning,vision,penalties,composure,defensiveawareness,standingtackle,slidingtackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
Stefan Ortega Moreno,1.0,17,3,54,6.0,30/06/2026,9000000.0,01/07/2022,-0.2162895096668798,1.0,-1.3535785589544784,-0.9867259275753636,0.965190056835432,0.33943889402701,-1.9196725210611232,-1.704158370576561,-1.920359634358796,-1.2170350365633245,-1.7434944669090149,-1.8355537415043048,-1.29196572138513,-1.860801012366892,-0.1757733718907065,-1.4394720151542155,-1.0646812770650318,-0.9814484529820676,-1.6254894573425207,0.6679278784581544,-0.7128580519704912,-0.0586599090849913,0.0193206519752555,-2.1334100049833484,0.3313155647534601,-1.9242450968128373,-1.9012467732870608,-1.2483487606175796,3.065294304770932,0.201010747083228,-1.5897561868513577,-1.0228205765828178,-1.1469599928623115,-1.894914550683223,-1.6526257434458418,2.9113772062711174,2.981113605816123,3.512009557389456,3.065294304770932,3.026729209542143
Harvey Peter Davies,46.0,196,3,53,NULL,30/06/2025,500000.0,01/07/2024,-0.6422074289171245,2.0,1.0780092510097476,-0.2920587909976727,0.6189956318585909,1.5433126512161228,0.9822251387465696,0.5324855866921104,-0.9153566856677784,0.7354131876985138,0.6703262131178945,0.8373751691205569,0.7320375561409419,0.7537411231695217,0.619341398423105,0.659377513756231,0.7057076094981877,0.215050798865382,1.6050295039211837,0.4069097933999971,1.6506135580304018,0.9633810372671644,-2.238937371106621,0.4939833062333209,-3.02382232094059,1.256685986843052,-0.1174622132766833,-0.0752846479423564,-0.1768716130181332,1.2709250661058973,0.4589791539989528,0.8598812879437882,-0.1312372647232642,0.0589909558135371,-0.2414165538831663,-0.3700990472611269,-0.3726291895544919,-0.5805420935203993,-0.1768716130181332,-0.5149655689685982
Caoimhín Odhrán Kelleher,48.0,216,3,53,NULL,30/06/2026,22000000.0,01/07/2019,NULL,1.0,-1.2563150465559094,-0.6902480530858195,0.7920928443470114,0.740730146423381,-2.1655960515533006,-2.114970525993256,-2.272110666400652,-1.3516866382365549,-1.94054105303366,-1.8841524489702115,-2.180552526152674,-1.9130918550776204,-0.8383690138188827,-1.6604035445132097,-1.4581010296346362,-1.9120589821967504,-1.4908845006231997,0.6679278784581544,-1.10676998697064,-0.5303711150936786,-0.4511497695001353,-3.0092077753889046,0.1592572116409447,-2.1086468987639035,-2.347192913289655,-1.900051045437148,2.967046852716717,-0.5122654655985515,-1.2385444141341615,-0.1670470017979968,-1.632740428059247,-1.979866964009169,-1.6953896582810744,2.863120202542702,2.9310577431986515,3.153911287934843,2.967046852716717,2.9322840154485235
Vítězslav Jaroš,76.0,307,3,53,NULL,30/06/2026,5000000.0,01/07/2022,-0.6615673343375902,1.0,NULL,NULL,-1.1119764930256149,-0.2624979845675464,-2.214780757651736,-1.8867415507617589,-2.372610961269753,-1.5536640407464,-1.6942328203778532,-2.3701395236292773,-1.7856250573670989,-1.494765113391794,-0.9046285780117004,-2.1022666032311985,-1.8515207822042403,-1.9785311628549425,-1.0870696304652363,-1.1591987169489462,-1.5663339111374803,-1.1593193897719285,-1.4861846967459953,-1.69551111978057,-0.9591220835904054,-1.878144646325071,-2.2357063782890068,-1.900051045437148,2.3775621403914333,-0.2269549805258396,-1.99950325502142,-0.8516658616258536,-1.6769022858044231,-1.894914550683223,-1.738153573116307,2.5253211764437946,2.5306108422588767,2.591185435934738,2.3775621403914333,2.3656128508868046
David Raya Martín,28.0,113,3,11,NULL,30/06/2028,40000000.0,04/07/2024,2.0294595191071374,1.0,0.8834822262126095,1.4521833027145357,2.0037733317659554,1.7439582774143083,-2.214780757651736,-1.5215751903913637,-1.920359634358796,-0.409125426523943,-1.3986629411908846,-2.175744693765651,-1.8843569245634928,-1.703928484234707,0.2880435774590168,-1.3290062504747182,-0.2122718131642224,-0.5826153690329177,0.1243749800086525,1.5814911761617043,-1.3037259544707145,-0.0586599090849913,-0.827526106680448,-2.258523972184142,-2.67970561471556,-1.8320441958373044,-1.9012467732870608,-1.9434978644251195,3.26178920887936,0.3436659896195839,-1.4726855959456255,0.0041077131589672,-1.1911218506074874,-1.809962137357277,-1.738153573116307,3.2491762323700253,3.2814487815209543,3.563166453025829,3.26178920887936,3.2628421947761925
Damián Emiliano Martínez Romero,5.0,45,3,12,14.0,30/06/2029,25000000.0,16/09/2020,NULL,1.0,1.0780092510097476,1.6058324201507228,2.0037733317659554,1.5433126512161228,-1.7229336966673812,-1.6585125755302617,-1.6188587497514906,-0.4764512273605582,-1.7434944669090149,-1.9327511564361184,-1.6868931901707052,-1.4424742706810658,-0.2420329360835241,-1.3290062504747182,-0.802401442018629,-0.715559730349301,-0.8178597170265945,1.450982133632626,-1.0411179978039486,-0.2158969777545538,0.5838851577457247,-1.69551111978057,0.7614614475347486,-1.7398432948617717,-1.2880708307834936,-1.509029674545407,3.310912934906467,0.2723383683514059,-0.4775855732469033,0.0896850706374493,-1.323607423843015,-1.5551048973794386,-1.4388061692696787,3.20091922864161,3.2313929189034827,3.4096957661167093,3.310912934906467,3.2628421947761925
Robin Patrick Olsen,85.0,330,3,12,6.0,30/06/2025,1500000.0,01/07/2022,-0.5260479963943305,1.0,-1.7426326085487545,-1.2334301443038893,-0.0733932180950914,-0.8644348631621029,-1.821303108864252,-1.8867415507617589,-2.121360224097,-2.4288994516223963,-1.5957095273155304,-2.5645343534929035,-1.8843569245634928,-1.6516376415239788,-0.8383690138188827,-2.709828308968433,-2.3760804522970465,-1.845586801538559,-2.298514240939125,-0.506653504303553,-2.091549824471012,-0.6876081837632411,-0.7334320223853699,-1.8831820705817608,0.5033739178659755,-1.8320441958373044,-2.012733308287709,-1.5524764935333784,2.868799400662504,-0.2982826017940176,-1.4726855959456255,-1.964171508846121,-1.4560929970785432,-1.894914550683223,-1.6098618286106092,2.718349191357456,2.6307225674938204,3.000440601025724,2.868799400662504,2.6489484331676643
Nicholas David Pope,46.0,196,3,57,NULL,30/06/2026,10000000.0,01/07/2022,0.4806670854698842,1.0,-0.7699974845630642,-0.206577943973315,1.311384481812273,0.740730146423381,-2.2639654637501714,-1.749804165622861,-2.372610961269753,-1.7556414432562453,-1.6942328203778532,-2.3701395236292773,-2.131186592554477,-1.860801012366892,-0.7058498854332476,-2.3231981325901927,-1.1302512358266326,-1.3802815369312174,-2.029304327500484,0.798436920987233,-1.5006819219707888,-1.0020823211023655,-0.1688675166149007,-1.8831820705817608,0.5033739178659755,-1.785943745349538,-1.511043900784791,-1.4221360365694646,3.0161705787438247,-0.940231193207619,-1.7068267777570896,-0.4237790742334431,-1.5885785703140711,-1.7674859306943038,-1.6953896582810744,3.1044052211847792,3.2313929189034827,2.6934992272074845,3.0161705787438247,3.121174403635763
martin-dubravka,77.0,109,3,57,NULL,30/06/2026,1000000.0,01/07/2018,-0.3711687530306051,1.0,0.0081106146254881,0.4815969763746778,0.4458984193701703,-0.2624979845675464,-2.214780757651736,-1.9323873458080585,-2.3223608138352025,-1.3516866382365549,-1.8420177599713368,-2.175744693765651,-2.032454725358084,-1.808510169656164,-0.2420329360835241,-1.881335073872204,-2.0482306584890426,-1.7126424402221756,-1.288977065544218,0.1458917083418399,-0.3189461169703423,-0.5303711150936786,-1.2039024438607608,-1.820625086981364,-0.78706373047789,-1.693742844374005,-1.9569900407873853,-1.3352423985935222,2.8196756746353966,-0.3696102230621955,-1.8238973686628217,-0.7660885041473715,-1.5885785703140711,-1.7674859306943038,-1.6953896582810744,2.8148631988142867,2.9310577431986515,3.10275439229847,2.8196756746353966,2.8850614184017136
Οδυσσέας Βλαχοδήμος,1.0,187,3,57,11.0,-,7000000.0,01/07/2024,-0.1388498879850171,1.0,-1.7426326085487545,-1.177164270313173,-0.4195876430719326,-1.2657261155584738,-2.0672266393564294,-1.84109575571546,-2.272110666400652,-2.765528455805472,-1.6942328203778532,-2.4673369385610906,-1.9337228581616897,-1.808510169656164,-2.561117682832141,-2.4336638972696902,-1.720380864681039,-1.646170259563984,-0.346742368508971,-0.2456354192453958,-1.8289418678042464,-1.2379379241067094,-0.2629616009099789,-1.8831820705817608,-0.184859494584086,-1.7398432948617717,-1.734016970786088,-1.4221360365694646,2.672304496554076,-1.2255416782803308,-1.9409679595685536,-1.0228205765828178,-1.6769022858044231,-1.809962137357277,-1.7809174879515397,2.6700921876290407,2.730834292728764,2.488871644661992,2.672304496554076,2.507280642027234
