Feature_Eliminada,Importancia
understat_key_passes,901615.8168912092
understat_red_cards,807912.2096397318
understat_shots,730259.2582987645
dribbling,713969.7368265399
fk_accuracy,650180.848791774
defensiveawareness,591757.1853703366
reactions,545028.0388675565
Pie bueno,525238.9264560075
vision,514277.32091127825
understat_assists,492067.53144596994
sprintspeed,485955.8774129776
longpassing,458560.8041421666
Posición secundaria,358233.74012518505
interceptions,338461.73812558816
slidingtackle,323312.92812487093
Posición específica,309104.30447424226
curve,255011.37133933548
shotpower,246396.45510963755
positioning,237318.92305486737
composure,230868.58293521195
finishing,206770.58939221842
understat_goals,203389.7664910826
shortpassing,147012.5393268191
stamina,131813.63741088955
agility,129942.8976039139
aggression,81329.89187157946
