Feature_Eliminada,Importancia
understat_minutes,2338032.6906034243
shortpassing,2065543.8677759324
understat_red_cards,1605441.7887587103
balance,1560180.8171996102
sprintspeed,1389141.376275248
understat_xa,1325139.8352838797
stamina,1266443.6281561225
dribbling,1200209.780714171
composure,1131916.1332275525
understat_goals,1120904.961792418
understat_yellow_cards,968743.9213314167
fk_accuracy,816478.0603305782
Pie bueno,768154.397495087
Posición específica,584010.6325656198
finishing,433554.81324971817
penalties,419873.18327534373
shotpower,313325.27888204064
longpassing,249555.43266665938
reactions,222491.30556900235
curve,179452.78676658616
defensiveawareness,100080.49217246892
aggression,65097.564328554705
understat_key_passes,62875.96780965836
Posición secundaria,42148.64814330342
positioning,34695.56663716306
interceptions,16361.126456935277
