Variable,Coeficiente,Importancia_Abs
overallrating,9493340.98416316,9493340.98416316
jumping,-8664615.306514882,8664615.306514882
potential,7385286.168452894,7385286.168452894
understat_goals,6768359.040716748,6768359.040716748
strength,5920431.754268045,5920431.754268045
vision,-4968625.415493594,4968625.415493594
headingaccuracy,4389190.877301637,4389190.877301637
ballcontrol,-4345504.315689556,4345504.315689556
acceleration,3950577.835266566,3950577.835266566
interceptions,-2998553.4796508183,2998553.4796508183
understat_matches,-2761451.0563929863,2761451.0563929863
reactions,2727148.637931535,2727148.637931535
longpassing,2687209.578826091,2687209.578826091
dribbling,2599268.688104523,2599268.688104523
understat_assists,2085700.4166112898,2085700.4166112898
standingtackle,1957239.722255715,1957239.722255715
understat_minutes,1843483.0740726488,1843483.0740726488
penalties,-1497953.1006739484,1497953.1006739484
shotpower,-1478889.5140451598,1478889.5140451598
defensiveawareness,1449085.3905566998,1449085.3905566998
aggression,-1308373.0196683854,1308373.0196683854
crossing,-1157909.3956651585,1157909.3956651585
slidingtackle,-1076053.3581961088,1076053.3581961088
understat_xa,-780787.5290160957,780787.5290160957
understat_key_passes,740806.4401802876,740806.4401802876
fk_accuracy,688245.1058609314,688245.1058609314
composure,662500.5394398898,662500.5394398898
agility,621121.3477101717,621121.3477101717
finishing,-619575.2506103524,619575.2506103524
sprintspeed,-506334.3434547498,506334.3434547498
understat_shots,443671.3480261765,443671.3480261765
understat_red_cards,-412681.6641320192,412681.6641320192
curve,405445.90721973195,405445.90721973195
understat_xg,383836.02902485087,383836.02902485087
Posición específica,380854.25456785323,380854.25456785323
shortpassing,-364029.3870970176,364029.3870970176
Pie bueno,312142.71039827744,312142.71039827744
volleys,-293421.82819963875,293421.82819963875
understat_yellow_cards,-290387.9700885357,290387.9700885357
stamina,-282995.49848551245,282995.49848551245
Posición secundaria,259869.78091617097,259869.78091617097
positioning,-177856.8454322294,177856.8454322294
balance,93138.38813127074,93138.38813127074
longshots,-9668.323154440746,9668.323154440746
