Variable,Coeficiente,Importancia_Abs
potential,5531809.946917843,5531809.946917843
jumping,-3853242.082497293,3853242.082497293
acceleration,3741566.8535075514,3741566.8535075514
understat_minutes,3122081.5989454025,3122081.5989454025
headingaccuracy,2500213.8044117303,2500213.8044117303
longshots,-2414710.013051543,2414710.013051543
strength,2253966.8912783405,2253966.8912783405
understat_matches,-2247297.6251228005,2247297.6251228005
understat_xa,1979573.1455739613,1979573.1455739613
crossing,-1596780.1575189386,1596780.1575189386
understat_yellow_cards,-1399195.4749489452,1399195.4749489452
understat_xg,1309264.688589516,1309264.688589516
penalties,-1302802.0531425672,1302802.0531425672
ballcontrol,1188438.4620018378,1188438.4620018378
standingtackle,1135881.2071072017,1135881.2071072017
balance,-1129981.4300792576,1129981.4300792576
volleys,1048253.2553459873,1048253.2553459873
understat_key_passes,-901615.8168912092,901615.8168912092
understat_red_cards,-807912.2096397318,807912.2096397318
overallrating,786780.9898174417,786780.9898174417
understat_shots,730259.2582987645,730259.2582987645
dribbling,713969.7368265399,713969.7368265399
fk_accuracy,650180.848791774,650180.848791774
defensiveawareness,591757.1853703366,591757.1853703366
reactions,545028.0388675565,545028.0388675565
Pie bueno,525238.9264560075,525238.9264560075
vision,514277.32091127825,514277.32091127825
understat_assists,-492067.53144596994,492067.53144596994
sprintspeed,485955.8774129776,485955.8774129776
longpassing,458560.8041421666,458560.8041421666
Posición secundaria,-358233.74012518505,358233.74012518505
interceptions,338461.73812558816,338461.73812558816
slidingtackle,-323312.92812487093,323312.92812487093
Posición específica,309104.30447424226,309104.30447424226
curve,255011.37133933548,255011.37133933548
shotpower,246396.45510963755,246396.45510963755
positioning,-237318.92305486737,237318.92305486737
composure,-230868.58293521195,230868.58293521195
finishing,206770.58939221842,206770.58939221842
understat_goals,-203389.7664910826,203389.7664910826
shortpassing,147012.5393268191,147012.5393268191
stamina,131813.63741088955,131813.63741088955
agility,-129942.8976039139,129942.8976039139
aggression,81329.89187157946,81329.89187157946
