Variable,Coeficiente,Importancia_Abs
overallrating,9493349.339899989,9493349.339899989
jumping,-8664615.826206319,8664615.826206319
potential,7385285.453999214,7385285.453999214
understat_goals,6768359.993540992,6768359.993540992
strength,5920432.199899293,5920432.199899293
vision,-4968631.262929162,4968631.262929162
headingaccuracy,4389190.857384502,4389190.857384502
ballcontrol,-4345514.431159581,4345514.431159581
acceleration,3950577.7434496447,3950577.7434496447
interceptions,-2998555.1327651823,2998555.1327651823
understat_matches,-2761451.512785824,2761451.512785824
reactions,2727145.1133451746,2727145.1133451746
longpassing,2687205.836556414,2687205.836556414
dribbling,2599272.854855964,2599272.854855964
understat_assists,2085700.3381209986,2085700.3381209986
standingtackle,1957240.0421960219,1957240.0421960219
understat_minutes,1843483.566132717,1843483.566132717
penalties,-1497954.2334918142,1497954.2334918142
shotpower,-1478891.0705305815,1478891.0705305815
defensiveawareness,1449085.7124684476,1449085.7124684476
aggression,-1308372.5900365673,1308372.5900365673
crossing,-1157908.7915197504,1157908.7915197504
slidingtackle,-1076053.4269524205,1076053.4269524205
understat_xa,-780790.0944421131,780790.0944421131
understat_key_passes,740808.0995270702,740808.0995270702
fk_accuracy,688246.5927093572,688246.5927093572
composure,662499.3269019503,662499.3269019503
agility,621121.9732086761,621121.9732086761
finishing,-619572.55689679,619572.55689679
sprintspeed,-506334.72389897145,506334.72389897145
understat_shots,443671.3419314109,443671.3419314109
understat_red_cards,-412681.7090483506,412681.7090483506
curve,405446.05215913954,405446.05215913954
understat_xg,383835.1235685248,383835.1235685248
Posición específica,380855.088577116,380855.088577116
shortpassing,-364016.2789370583,364016.2789370583
Pie bueno,312142.798677986,312142.798677986
volleys,-293419.88004035415,293419.88004035415
understat_yellow_cards,-290388.55690670584,290388.55690670584
stamina,-282996.39630179165,282996.39630179165
Posición secundaria,259870.12443639134,259870.12443639134
positioning,-177857.39571865866,177857.39571865866
balance,93137.32946942106,93137.32946942106
longshots,-9670.595389573033,9670.595389573033
