Variable,Coeficiente,Importancia_Abs
potential,5531810.43963892,5531810.43963892
jumping,-3853241.6772769988,3853241.6772769988
acceleration,3741567.136024763,3741567.136024763
understat_minutes,3122079.3909512437,3122079.3909512437
headingaccuracy,2500213.276644834,2500213.276644834
longshots,-2414710.4955369704,2414710.4955369704
strength,2253966.727253166,2253966.727253166
understat_matches,-2247295.27425901,2247295.27425901
understat_xa,1979571.5349471807,1979571.5349471807
crossing,-1596780.0157984968,1596780.0157984968
understat_yellow_cards,-1399195.5675784354,1399195.5675784354
understat_xg,1309264.7989689077,1309264.7989689077
penalties,-1302802.2594528396,1302802.2594528396
ballcontrol,1188437.372961164,1188437.372961164
standingtackle,1135881.4679993528,1135881.4679993528
balance,-1129981.879723087,1129981.879723087
volleys,1048253.6636097035,1048253.6636097035
understat_key_passes,-901615.6009990387,901615.6009990387
understat_red_cards,-807912.4334498724,807912.4334498724
overallrating,786780.2744089861,786780.2744089861
understat_shots,730258.783431127,730258.783431127
dribbling,713970.7600269808,713970.7600269808
fk_accuracy,650181.3839137951,650181.3839137951
defensiveawareness,591758.0448019279,591758.0448019279
reactions,545027.3039608995,545027.3039608995
Pie bueno,525238.6106865859,525238.6106865859
vision,514276.2568312888,514276.2568312888
understat_assists,-492066.58436571975,492066.58436571975
sprintspeed,485955.4246619883,485955.4246619883
longpassing,458560.5924622003,458560.5924622003
Posición secundaria,-358233.5694917794,358233.5694917794
interceptions,338461.60107167874,338461.60107167874
slidingtackle,-323312.9709048361,323312.9709048361
Posición específica,309103.69883962267,309103.69883962267
curve,255012.148820026,255012.148820026
shotpower,246396.0443292177,246396.0443292177
positioning,-237319.09081148493,237319.09081148493
composure,-230868.24220873392,230868.24220873392
finishing,206771.1244016011,206771.1244016011
understat_goals,-203389.4129985514,203389.4129985514
shortpassing,147014.04503568186,147014.04503568186
stamina,131813.84483079365,131813.84483079365
agility,-129942.84888031572,129942.84888031572
aggression,81329.96202989694,81329.96202989694
