Variable,Coeficiente,Importancia_Abs
overallrating,30510264.491370022,30510264.491370022
shotpower,-23210245.888728913,23210245.888728913
gk_kicking,22458040.2963463,22458040.2963463
gk_reflexes,-9353134.288535364,9353134.288535364
gk_diving,-9066080.020609135,9066080.020609135
gk_handling,-5786665.734958035,5786665.734958035
gk_positioning,-5125179.516320234,5125179.516320234
reactions,-4753525.835854776,4753525.835854776
longshots,-3603269.9170557703,3603269.9170557703
ballcontrol,3272712.8110041246,3272712.8110041246
volleys,3214259.4195899647,3214259.4195899647
positioning,-3112980.258175906,3112980.258175906
finishing,-2964359.134126947,2964359.134126947
potential,2376190.746232713,2376190.746232713
crossing,-2113935.3356381273,2113935.3356381273
fk_accuracy,2017595.9794520687,2017595.9794520687
standingtackle,1923151.489237315,1923151.489237315
understat_minutes,1830426.775694118,1830426.775694118
jumping,-1596174.813653485,1596174.813653485
aggression,-1550012.7661071052,1550012.7661071052
acceleration,1170484.1901045116,1170484.1901045116
strength,1145868.618554269,1145868.618554269
balance,-1060226.3355393403,1060226.3355393403
headingaccuracy,964772.4838141083,964772.4838141083
understat_matches,-799909.98540761,799909.98540761
interceptions,-796765.8520880024,796765.8520880024
sprintspeed,740701.1452701988,740701.1452701988
penalties,-731628.0043968486,731628.0043968486
shortpassing,729993.8541892961,729993.8541892961
slidingtackle,-623694.8278849621,623694.8278849621
vision,612962.2116578397,612962.2116578397
agility,525637.8032146114,525637.8032146114
composure,-466353.9551284469,466353.9551284469
defensiveawareness,388636.5012191703,388636.5012191703
curve,336184.248224383,336184.248224383
dribbling,-93513.69938339351,93513.69938339351
stamina,77242.74115966531,77242.74115966531
Pie bueno,63029.88521448621,63029.88521448621
longpassing,16654.834858680693,16654.834858680693
