Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,overallrating,shotpower,gk_kicking,gk_reflexes,gk_diving,gk_handling,gk_positioning,reactions,longshots,ballcontrol,volleys,positioning,finishing,potential,crossing,Valor de mercado actual (numérico),Cluster,Valor_Predicho
Stefan Ortega Moreno,1.0,17,3,54,6.0,30/06/2026,01/07/2022,-0.2162895096668798,0.965190056835432,-0.0586599090849913,3.512009557389456,3.026729209542143,2.9113772062711174,2.981113605816123,3.065294304770932,0.6679278784581544,-1.9242450968128373,-1.4394720151542155,-1.7434944669090149,3.065294304770932,-1.704158370576561,0.33943889402701,-1.9196725210611232,9000000.0,1,5361836.477835014
Harvey Peter Davies,46.0,196,3,53,,30/06/2025,01/07/2024,-0.6422074289171245,0.6189956318585909,0.9633810372671644,-0.5805420935203993,-0.5149655689685982,-0.3700990472611269,-0.3726291895544919,-0.1768716130181332,0.4069097933999971,1.256685986843052,0.659377513756231,0.6703262131178945,-0.1768716130181332,0.5324855866921104,1.5433126512161228,0.9822251387465696,500000.0,1,2281555.6073085414
Caoimhín Odhrán Kelleher,48.0,216,3,53,,30/06/2026,01/07/2019,,0.7920928443470114,-0.5303711150936786,3.153911287934843,2.9322840154485235,2.863120202542702,2.9310577431986515,2.967046852716717,0.6679278784581544,-2.1086468987639035,-1.6604035445132097,-1.94054105303366,2.967046852716717,-2.114970525993256,0.740730146423381,-2.1655960515533006,22000000.0,2,21758453.724194102
Vítězslav Jaroš,76.0,307,3,53,,30/06/2026,01/07/2022,-0.6615673343375902,-1.1119764930256149,-1.1593193897719285,2.591185435934738,2.3656128508868046,2.5253211764437946,2.5306108422588767,2.3775621403914333,-1.1591987169489462,-1.878144646325071,-2.1022666032311985,-1.6942328203778532,2.3775621403914333,-1.8867415507617589,-0.2624979845675464,-2.214780757651736,5000000.0,0,608731.1119205074
David Raya Martín,28.0,113,3,11,,30/06/2028,04/07/2024,2.0294595191071374,2.0037733317659554,-0.0586599090849913,3.563166453025829,3.2628421947761925,3.2491762323700253,3.2814487815209543,3.26178920887936,1.5814911761617043,-1.8320441958373044,-1.3290062504747182,-1.3986629411908846,3.26178920887936,-1.5215751903913637,1.7439582774143083,-2.214780757651736,40000000.0,2,24386749.71144237
Damián Emiliano Martínez Romero,5.0,45,3,12,14.0,30/06/2029,16/09/2020,,2.0037733317659554,-0.2158969777545538,3.4096957661167093,3.2628421947761925,3.20091922864161,3.2313929189034827,3.310912934906467,1.450982133632626,-1.7398432948617717,-1.3290062504747182,-1.7434944669090149,3.310912934906467,-1.6585125755302617,1.5433126512161228,-1.7229336966673812,25000000.0,2,24178149.73002565
Robin Patrick Olsen,85.0,330,3,12,6.0,30/06/2025,01/07/2022,-0.5260479963943305,-0.0733932180950914,-0.6876081837632411,3.000440601025724,2.6489484331676643,2.718349191357456,2.6307225674938204,2.868799400662504,-0.506653504303553,-1.8320441958373044,-2.709828308968433,-1.5957095273155304,2.868799400662504,-1.8867415507617589,-0.8644348631621029,-1.821303108864252,1500000.0,1,2861928.6846381323
Nicholas David Pope,46.0,196,3,57,,30/06/2026,01/07/2022,0.4806670854698842,1.311384481812273,-1.0020823211023655,2.6934992272074845,3.121174403635763,3.1044052211847792,3.2313929189034827,3.0161705787438247,0.798436920987233,-1.785943745349538,-2.3231981325901927,-1.6942328203778532,3.0161705787438247,-1.749804165622861,0.740730146423381,-2.2639654637501714,10000000.0,1,5445760.637762937
martin-dubravka,77.0,109,3,57,,30/06/2026,01/07/2018,-0.3711687530306051,0.4458984193701703,-0.5303711150936786,3.10275439229847,2.8850614184017136,2.8148631988142867,2.9310577431986515,2.8196756746353966,0.1458917083418399,-1.693742844374005,-1.881335073872204,-1.8420177599713368,2.8196756746353966,-1.9323873458080585,-0.2624979845675464,-2.214780757651736,1000000.0,1,4268568.750557281
Οδυσσέας Βλαχοδήμος,1.0,187,3,57,11.0,-,01/07/2024,-0.1388498879850171,-0.4195876430719326,-1.2379379241067094,2.488871644661992,2.507280642027234,2.6700921876290407,2.730834292728764,2.672304496554076,-0.2456354192453958,-1.7398432948617717,-2.4336638972696902,-1.6942328203778532,2.672304496554076,-1.84109575571546,-1.2657261155584738,-2.0672266393564294,7000000.0,1,2089759.0801645205
