Variable,Correlacion,P_value,Correlacion_Abs
potential,0.6888465776120503,1.5663849010370393e-185,0.6888465776120503
overallrating,0.6304672106595512,1.5841666614361754e-146,0.6304672106595512
comprado_por,0.5848439952749573,2.0558981662782585e-121,0.5848439952749573
reactions,0.5528926603931785,4.5543377456677225e-106,0.5528926603931785
understat_goals,0.4869845905264162,3.4112264911990654e-79,0.4869845905264162
understat_xg,0.4759192257220586,3.1227147225902305e-75,0.4759192257220586
understat_shots,0.4661673264964816,7.367936235741542e-72,0.4661673264964816
understat_xa,0.44074312200971594,1.4559943230930536e-63,0.44074312200971594
understat_assists,0.434918460444493,9.260402100331837e-62,0.434918460444493
composure,0.43040380684514423,2.1900546905220153e-60,0.43040380684514423
understat_key_passes,0.40060664337410484,7.95973130688688e-52,0.40060664337410484
vision,0.37592766748831224,2.283652482652192e-45,0.37592766748831224
shortpassing,0.34219842873928286,2.109531895290681e-37,0.34219842873928286
longpassing,0.32779133048640713,2.757101320320349e-34,0.32779133048640713
ballcontrol,0.3095291461900594,1.4322691375769175e-30,0.3095291461900594
sprintspeed,0.3084155529303352,2.367585049785847e-30,0.3084155529303352
shotpower,0.3005358520681481,7.800377438154689e-29,0.3005358520681481
dribbling,0.2969130671552186,3.7528105774598955e-28,0.2969130671552186
agility,0.2913690818881022,3.977316446095558e-27,0.2913690818881022
acceleration,0.29112664237911345,4.404612562312681e-27,0.29112664237911345
curve,0.2795155172461085,5.2037004432315115e-25,0.2795155172461085
stamina,0.27815253758876957,8.978393657229876e-25,0.27815253758876957
finishing,0.27414314787924143,4.38868549316983e-24,0.27414314787924143
understat_minutes,0.2688947906204183,3.366428221851701e-23,0.2688947906204183
volleys,0.25721542596462077,2.672130250537992e-21,0.25721542596462077
longshots,0.24902061436998185,5.0516335277789354e-20,0.24902061436998185
crossing,0.24277122455906563,4.427623362832289e-19,0.24277122455906563
balance,0.23432989878311364,7.547376667065499e-18,0.23432989878311364
penalties,0.23168857798530224,1.7922724562774582e-17,0.23168857798530224
jumping,0.22977259759175966,3.334032658531665e-17,0.22977259759175966
fk_accuracy,0.21944561501103002,8.595988399679979e-16,0.21944561501103002
understat_matches,0.21356926906363488,5.085359742296078e-15,0.21356926906363488
aggression,0.17889996086295784,6.508890495883985e-11,0.17889996086295784
headingaccuracy,0.15266525587252167,2.6770117664848163e-08,0.15266525587252167
gk_diving,-0.10888067480254691,7.658683508205506e-05,0.10888067480254691
gk_handling,-0.10735360623196243,9.657292393034896e-05,0.10735360623196243
gk_positioning,-0.1065134428243181,0.00010957212396699268,0.1065134428243181
positioning,-0.1065134428243181,0.00010957212396699268,0.1065134428243181
understat_yellow_cards,0.10065920123077567,0.00025756100200371627,0.10065920123077567
gk_kicking,-0.09940642348094572,0.00030748666982097407,0.09940642348094572
defensiveawareness,0.09885972394385352,0.0003319948302804966,0.09885972394385352
gk_reflexes,-0.09882410858967122,0.0003336531686333494,0.09882410858967122
Diferencia_Absoluta,-0.0962979685134797,0.0004731345795845468,0.0962979685134797
standingtackle,0.09471582608702642,0.000586394623626906,0.09471582608702642
interceptions,0.09441390951314597,0.0006106875045093108,0.09441390951314597
strength,0.08867763795383234,0.0012919157044243978,0.08867763795383234
Diferencia_Relativa,-0.07663029085341495,0.005448865925422316,0.07663029085341495
slidingtackle,0.06380398149691259,0.02072290614558336,0.06380398149691259
Posición secundaria,-0.040780983534054065,0.1395461475999968,0.040780983534054065
Pie bueno,0.03912047318404694,0.1564021457392251,0.03912047318404694
Posición específica,0.027817907360390724,0.3136415019625792,0.027817907360390724
understat_red_cards,0.01843295458933663,0.5043892654580365,0.01843295458933663
