Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Posición específica,Posición secundaria,Club actual,Proveedor,Fin de contrato,Valor de mercado actual (numérico),Fecha de fichaje,comprado_por,Pie bueno,understat_matches,understat_minutes,understat_goals,understat_xg,understat_assists,understat_xa,understat_shots,understat_key_passes,understat_yellow_cards,understat_red_cards,overallrating,potential,crossing,finishing,headingaccuracy,shortpassing,volleys,dribbling,curve,fk_accuracy,longpassing,ballcontrol,acceleration,sprintspeed,agility,reactions,balance,shotpower,jumping,stamina,strength,longshots,aggression,interceptions,positioning,vision,penalties,composure,defensiveawareness,standingtackle,slidingtackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,Valor_Predicho,Diferencia_Absoluta,Diferencia_Relativa
Rúben Santos Gato Alves Dias,Portugal,Portugal,Defensa,0.0,,Manchester City,Nike,30/06/2027,70000000.0,29/09/2020,,1.0,30.002326617914573,2552.3330872300858,-0.0007084668010173,-0.1521996915276479,-0.0005236399978296,-0.5346951590057333,0.0045166656107065,-0.49145051137146,-1.164471814624751,-0.3596700104893391,86.00308816865571,87.00231872308602,-0.1490231015174462,-1.0651172399283693,85.00714525823037,1.0047163910449743,-0.8075231828169478,64.00006146458692,-0.5021107838139801,0.0216693252193258,81.00489454457153,75.00211768266628,57.99753572535744,-0.3831988270583428,-0.2794398901493105,86.00376627101983,-0.5815540736371082,0.6489068999280394,86.00352283141743,0.6816542570345117,89.0052957717362,-1.2788387899841065,1.3876060092320728,86.00807448327024,-0.5207376952078825,64.00021825619525,44.99835696053277,1.544500147771645,1.4144277563578946,87.00810692291333,1.3408482950204397,6.99715370587618,7.997480521052511,12.998839998200877,6.997172059884777,11.998424685401703,69857100.0,-142900.0,-0.20414285714285715
Joško Gvardiol,Croacia,Croacia,Defensa,7.0,0.0,Manchester City,,30/06/2028,75000000.0,05/08/2023,75025130.7625881,2.0,28.001669695577924,2335.261811156559,4.000605377872285,0.2145638171435353,0.9998048211704962,0.1904654003227473,0.5622638325112068,0.2441555120376148,-0.0592637296599633,-0.3596700104893391,84.00255462189418,87.00231872308602,0.7854863143528278,0.715068766877308,80.00581139132655,0.870064789371744,0.5718029200555718,79.00406306529837,0.8801353569355326,0.5968685950373368,76.00356067766772,81.00371832295086,80.00340473973421,0.7468282441309152,0.1243749800086525,85.00349949763907,0.1406178071964979,1.1992366402715078,90.00458992494049,0.7442112406349085,83.00369513145162,0.9339828334286864,1.276119474231424,83.00727416312793,-0.4224902431536684,70.00181889647982,61.00262533462498,1.1166133603792343,1.2819421831223667,85.0075733761518,1.2980843801852069,4.996620159114656,7.997480521052511,5.996972584535536,8.997705606646303,10.99815791202094,73714160.0,-1285840.0,-1.7144533333333334
nico-o-reilly,Inglaterra,"Inglaterra, Jamaica",Centrocampista,10.0,9.0,Manchester City,Nike,30/06/2028,7000000.0,01/07/2024,,2.0,,,,,,,,,,,66.99801947442121,81.00071808280144,0.3428239594669085,0.4411939965995116,57.99994237694976,0.0621551793323626,0.4240179804620875,67.00086178472921,0.4852078881499576,0.4922869096158803,67.00115971724085,69.0005170423817,66.9999366857843,0.215050798865382,0.057072501648992,64.9981640300238,-0.9098140194705656,-0.0586599090849913,67.9987209105637,0.0560844210305427,68.99996030412095,0.4268778780632546,-0.0059756782760347,60.00113837537039,-0.5207376952078825,70.00181889647982,57.001558241101925,0.0041077131589672,0.2220575972381434,63.00170436177502,0.0579308499634617,6.99715370587618,12.998814387956322,7.997506131297062,6.997172059884777,11.998424685401703,5807206.5,-1192793.5,-17.039907142857142
Mateo Kovačić,Austria,Croacia,Centrocampista,9.0,10.0,Manchester City,Nike,30/06/2027,25000000.0,01/07/2023,38011086.3513782,1.0,30.002326617914573,1540.00068452774,0.9996199943673084,-0.2688483247774954,-0.0005236399978296,-0.0153365040804135,0.0974745267607899,0.3667565159391273,0.3091389653282991,-0.3596700104893391,83.00228784851342,83.00125162956297,0.7854863143528278,0.4411939965995116,41.99567400285756,1.34134539522805,1.3599892645541545,87.00619725234446,1.0775990913283202,1.1720678648553478,84.00569486471382,88.0055857366162,75.0020708728304,-0.1837822850837678,1.3358195904825416,84.0032327242583,1.256701623030253,1.0419995716019457,64.99792059042142,0.4939833062333209,70.0002270775017,1.072284184891986,0.7744300667285055,76.0054067494626,-0.5207376952078825,82.00502017704898,59.002091787863456,1.3733454328146806,0.8844854634157829,76.00517241572493,0.7421534873271831,8.997687252637707,4.99668020091022,5.996972584535536,6.997172059884777,6.997090818497892,24653112.0,-346888.0,-1.3875520000000001
İlkay Gündoğan,Alemania,Alemania,Centrocampista,9.0,11.0,Manchester City,adidas,30/06/2026,7000000.0,23/08/2024,15002356.041707177,1.0,36.00429738492453,3014.484836289852,5.000933839040611,1.437254818719385,9.0024325105171,4.24020111970928,1.0735320688366654,5.025594664196601,0.6775416603165617,-0.3596700104893391,84.00255462189418,84.00151840294373,0.9822251387465696,1.2171725123866015,49.99780818990365,1.2066937935548196,1.310727618022993,86.0059304789637,1.3737946929175011,1.6949762919626306,84.00569486471382,88.0055857366162,58.9978024987382,-0.914976272323876,0.460887371806955,86.00376627101983,0.6001817313633383,1.1992366402715078,61.997120270279126,0.3063123554321303,65.99915998397866,1.210585536355285,0.3842271942262354,78.00594029622413,-0.6189851472620966,84.00555372381051,80.00769402885948,1.6300775052501268,0.9728091789061348,78.00570596248646,0.5710978279862527,10.998220799399231,13.999081161337086,4.996705811154774,4.99663851312325,12.998691458782467,7409452.0,409452.0,5.849314285714286
jeremy-doku,Bélgica,"Bélgica, Ghana",Delantero,3.0,2.0,Manchester City,Nike,30/06/2028,55000000.0,24/08/2023,28007290.56456471,1.0,29.001998156746247,1616.025647576533,3.00027691670396,0.4158600597714049,8.002104049348775,1.798888779389921,1.6777581663122072,1.837968562757277,-0.0592637296599633,-0.3596700104893391,80.00148752837113,85.00178517632449,0.6379321960575214,0.8976519470625057,39.99514045609602,0.5334357851886684,0.5718029200555718,91.00726434586753,0.7814034897391389,0.3877052241944237,69.00169326400237,81.00371832295086,95.00740634044566,1.5444944120292148,1.8069369390001653,75.00083176383143,1.7819175363637847,0.8847625029323831,73.00005477746751,-0.2567004969714416,73.001027397644,0.7495810314776202,-0.061718945776359,19.99046744013988,-0.4224902431536684,74.00288599000288,55.0010246943404,0.6031492155083419,-0.6611795576653758,29.99290084020984,-1.224986595093516,10.998220799399231,9.998014067814031,7.997506131297062,8.997705606646303,11.998424685401703,54560776.0,-439224.0,-0.7985890909090909
kevin-de-bruyne,Bélgica,Bélgica,Centrocampista,10.0,9.0,Manchester City,Nike,30/06/2025,27000000.0,30/08/2015,27006910.98588336,1.0,17.998385083894668,1232.8998469490643,4.000605377872285,0.0673946880952856,10.002760971685426,4.911429034708974,1.1200109994117071,2.6348750881171084,-0.4276664246482259,-0.3596700104893391,89.003888488798,89.00285226984755,1.8183651424199727,1.4454014876180987,54.99914205680746,1.6779743994111254,1.7048207902722845,85.00566370558295,1.8180880953012728,1.851848820094816,93.00809582514069,91.00638605675849,66.9999366857843,-0.0508379237673845,0.460887371806955,90.00483336454288,0.6658337205300298,2.0640405179541013,70.999521230706,0.1811983882313365,75.00156094440553,1.6715900412329503,0.6629435317278569,66.00273901565497,-0.3733665171265614,94.00822145761812,83.00849434900177,1.6300775052501268,0.4870287437091993,70.00357177544036,-0.0275969797070034,14.999287892922284,12.998814387956322,4.996705811154774,9.997972380027065,12.998691458782467,27120572.0,120572.0,0.44656296296296294
عمر مرموش,Egipto,"Egipto, Canadá",Delantero,1.0,3.0,Manchester City,Nike,30/06/2029,75000000.0,23/01/2025,60019437.08236788,1.0,29.001998156746247,2343.2644388459057,12.003233067218888,2.649970797629833,6.001447127012122,1.4233534720029648,2.700294638963124,1.5927665549542522,1.4143470502930868,-0.3596700104893391,84.00255462189418,85.00178517632449,0.3428239594669085,1.5823388727569971,69.00287688413815,1.1393679927182043,1.6555591437411228,87.00619725234446,1.0282331577301231,1.904139662805544,63.0000926237178,86.00505218985467,87.00527215339956,1.5444944120292148,1.5377270255615232,85.00349949763907,1.1910496338635614,1.5137107776106329,80.00192219113286,0.5565402898337178,66.99942675735942,1.1644850858675189,0.495713729226884,33.99420226747056,-0.4716139691807754,79.00421985690669,79.00742725547872,1.3733454328146806,-1.0586362773719595,29.99290084020984,-1.3960422544344462,10.998220799399231,12.998814387956322,14.999373544962404,7.997438833265541,10.99815791202094,75014430.0,14430.0,0.01924
Bernardo Mota Veiga de Carvalho e Silva,Portugal,Portugal,Centrocampista,10.0,2.0,Manchester City,adidas,30/06/2026,45000000.0,01/07/2017,,2.0,33.00331200141955,2599.348524904997,6.001262300208936,0.5115145099404738,9.0024325105171,3.259890919102329,0.6552216936612902,3.0639786017724018,1.7827497452813494,-0.3596700104893391,85.00282139527495,85.00178517632449,1.326518081435618,1.1715267173403023,53.99887528342671,1.2066937935548196,1.4585125576164772,88.00646402572524,1.3737946929175011,1.015195336723163,82.00516131795229,88.0055857366162,71.00100377930735,-0.2502544657419595,1.8069369390001653,87.00403304440059,1.7819175363637847,1.0419995716019457,62.99738704365989,1.432338060239274,53.9959587034095,1.1644850858675189,0.8301733342288298,73.00460642932032,-0.2751190650723473,85.00582049719127,64.00342565476727,1.8012322202070912,0.6636761746899031,76.00517241572493,0.6138617428214854,8.997687252637707,9.998014067814031,13.99910677158164,11.998505926788592,8.997624365259416,45062650.0,62650.0,0.13922222222222222
Nicolás González Iglesias,España,España,Centrocampista,9.0,11.0,Manchester City,Nike,30/06/2029,40000000.0,03/02/2025,18003494.777751222,1.0,29.001998156746247,1915.1238574658623,12.003233067218888,2.488588841186111,2.0001332823388216,0.1489696134007858,3.0256471529884164,0.4280570178898835,-0.7960691196364885,-0.3596700104893391,79.00122075499037,85.00178517632449,0.6379321960575214,0.8063603569699069,69.00287688413815,1.0047163910449743,0.4732796269932489,78.00379629191761,0.28774415375717,0.5968685950373368,79.00436099781001,81.00371832295086,65.99966991240353,0.3479951601817653,0.057072501648992,76.0010985372122,-0.5159020844704167,0.8061439685976018,79.00165541775209,0.8067682242353054,82.00342835807086,0.6573801305020872,1.2203762067311,73.00460642932032,-0.2751190650723473,79.00421985690669,60.00235856124422,0.6031492155083419,0.840323605670607,79.00597273586723,0.6993895724919506,13.999021119541522,13.999081161337086,9.998039678058586,11.998505926788592,6.997090818497892,39934280.0,-65720.0,-0.1643
