Club actual,Dif_Rel_Media,Dif_Rel_Mediana,Dif_Rel_Std,Num_Jugadores,Dif_Abs_Media,Dif_Abs_Mediana,Valor_Real_Promedio,Valor_Pred_Promedio,Dif_Rel_Abs
RC Lens,9.45,5.38,9.5,13,362123.46,358249.0,6869230.77,7231354.23,9.45
Ipswich Town,-9.19,-7.29,7.89,10,-940873.35,-877427.0,11400000.0,10459126.65,9.19
Real Betis Balompié,9.14,7.17,11.33,10,355807.6,368467.5,8500000.0,8855807.6,9.14
AJ Auxerre,-8.92,-11.6,14.51,4,-491279.38,-559418.25,4375000.0,3883720.62,8.92
CA Osasuna,8.08,8.7,5.02,13,301530.27,194834.0,4738461.54,5039991.81,8.08
Sevilla FC,7.35,7.03,9.39,15,292154.7,305287.5,9633333.33,9925488.03,7.35
RCD Mallorca,7.26,9.4,8.99,9,469184.83,294396.0,4244444.44,4713629.28,7.26
Wolverhampton Wanderers,-7.21,-4.07,10.35,16,-1371606.44,-435220.5,16406250.0,15034643.56,7.21
RC Celta de Vigo,6.45,1.32,11.85,10,154493.05,64585.5,6010000.0,6164493.05,6.45
Girona FC,6.17,2.93,8.39,9,418764.94,351930.0,10388888.89,10807653.83,6.17
CD Leganés,-6.07,-7.28,5.7,8,-143249.44,-146838.0,2350000.0,2206750.56,6.07
Montpellier HSC,6.0,5.54,10.34,12,151710.96,199180.5,2525000.0,2676710.96,6.0
Rayo Vallecano,5.86,11.35,12.12,10,29627.7,129640.0,3300000.0,3329627.7,5.86
Hellas Verona,-5.72,-7.66,10.79,11,-164750.0,-154207.0,3927272.73,3762522.73,5.72
Getafe CF,5.11,6.21,10.49,11,144028.36,200202.0,4209090.91,4353119.27,5.11
Southampton FC,-5.02,-8.02,10.8,10,-1015861.85,-564593.75,11400000.0,10384138.15,5.02
Deportivo Alavés,4.57,5.77,12.37,16,83446.12,155726.0,3675000.0,3758446.12,4.57
US Lecce,-4.51,-2.08,10.19,11,-83899.86,-59141.0,3727272.73,3643372.86,4.51
Juventus de Turín,-4.31,-3.51,5.25,18,-945320.83,-582906.0,25122222.22,24176901.39,4.31
Empoli FC,-4.28,-3.41,11.44,13,-221439.96,-27178.0,3900000.0,3678560.04,4.28
OGC Niza,4.2,1.45,7.92,14,221820.32,154244.5,10728571.43,10950391.75,4.2
LOSC Lille,4.13,0.58,8.78,15,311622.63,21838.0,12776666.67,13088289.3,4.13
Olympique de Lyon,4.1,2.5,7.36,13,473508.0,164372.0,10346153.85,10819661.85,4.1
Crystal Palace,-4.0,-2.08,5.64,12,-529363.08,-513786.0,23000000.0,22470636.92,4.0
Fiorentina,3.99,1.33,10.3,16,-177.69,229195.5,11800000.0,11799822.31,3.99
Fulham FC,-3.97,-2.66,6.26,13,-580595.92,-518968.0,16615384.62,16034788.69,3.97
Newcastle United,-3.84,-1.87,6.86,17,-118704.68,-310662.0,27735294.12,27616589.44,3.84
Stade Brestois 29,3.79,6.06,13.06,12,319430.79,192354.5,5258333.33,5577764.12,3.79
Holstein Kiel,-3.69,-15.31,18.47,7,-154445.5,-191588.0,1900000.0,1745554.5,3.69
Génova,-3.66,-4.06,13.84,11,-563383.27,-599551.0,8240909.09,7677525.82,3.66
Brentford FC,-3.51,-3.3,8.2,16,-560672.12,-517398.0,20218750.0,19658077.88,3.51
Bayern Múnich,3.49,0.24,10.6,16,753001.69,81662.5,37468750.0,38221751.69,3.49
Toulouse FC,3.37,5.44,11.44,13,189799.58,256940.0,5142307.69,5332107.27,3.37
Real Valladolid CF,3.24,-0.33,10.32,10,46360.5,-5777.0,1840000.0,1886360.5,3.24
TSG 1899 Hoffenheim,3.2,2.11,10.56,20,173749.88,221400.5,6565000.0,6738749.88,3.2
VfL Bochum,3.19,2.46,12.86,13,80094.19,97680.0,2507692.31,2587786.5,3.19
Atlético de Madrid,3.14,0.77,7.77,17,331800.94,160386.0,24411764.71,24743565.65,3.14
AC Monza,3.13,0.21,11.37,10,12034.35,9470.5,3250000.0,3262034.35,3.13
1.FC Heidenheim 1846,3.02,2.08,14.11,15,64266.6,48564.0,3336666.67,3400933.27,3.02
Manchester United,-2.99,-1.94,5.99,15,-873320.8,-735744.0,32366666.67,31493345.87,2.99
Villarreal CF,-2.97,-0.37,11.68,13,-461841.77,-104371.0,12207692.31,11745850.54,2.97
Como 1907,2.94,1.78,12.03,12,96581.71,120717.5,9708333.33,9804915.04,2.94
VfL Wolfsburgo,-2.92,-3.51,8.05,16,-72919.69,-169295.5,9925000.0,9852080.31,2.92
Borussia Mönchengladbach,2.9,1.17,7.15,13,145405.96,124578.0,8384615.38,8530021.35,2.9
AC Milan,2.72,1.63,8.41,18,266796.36,285857.0,22277777.78,22544574.14,2.72
AS Saint-Étienne,-2.54,-3.0,13.22,10,-152965.1,-18628.5,2590000.0,2437034.9,2.54
Parma,2.47,0.81,9.8,9,-110990.67,14609.0,6422222.22,6311231.56,2.47
AS Roma,2.33,0.57,10.24,15,180891.67,71717.0,12166666.67,12347558.33,2.33
Manchester City,-2.2,-0.51,5.01,20,-539548.02,-297352.0,48350000.0,47810451.98,2.2
Arsenal FC,-2.09,-0.48,4.19,14,-732345.14,-236632.0,48357142.86,47624797.71,2.09
FC Augsburgo,-2.02,-2.64,9.77,11,-312697.0,-228977.0,6090909.09,5778212.09,2.02
Aston Villa,-2.01,-0.68,7.42,15,-1036458.37,-227914.0,28200000.0,27163541.63,2.01
RCD Espanyol,1.93,3.76,9.72,10,333522.2,67588.0,4570000.0,4903522.2,1.93
Racing Club de Estrasburgo,1.92,2.7,6.09,13,62013.69,33954.0,11546153.85,11608167.54,1.92
SV Werder Bremen,-1.91,-1.32,10.76,16,-135315.31,-63079.75,4925000.0,4789684.69,1.91
West Ham United,-1.87,-1.44,1.62,9,-344381.33,-240128.0,18888888.89,18544507.56,1.87
SSC Nápoles,-1.84,-1.67,9.25,15,-87691.3,-100573.5,12766666.67,12678975.37,1.84
SC Friburgo,-1.77,-0.16,10.22,16,-85011.31,-36403.5,7531250.0,7446238.69,1.77
UD Las Palmas,1.71,0.74,10.71,13,107243.69,50934.0,7684615.38,7791859.08,1.71
Angers SCO,1.7,4.21,10.1,5,-108757.7,42106.0,3060000.0,2951242.3,1.7
Inter de Milán,-1.65,-0.19,11.6,18,-1182209.44,-51387.0,30944444.44,29762235.0,1.65
AFC Bournemouth,-1.55,-1.17,6.85,14,-594614.14,-193307.0,16714285.71,16119671.57,1.55
